County,State,Year,Number of Incidents,Total Killed,Total Injured,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate
Wood, WV,2017,9,1,6,39.2339,-81.5418,86016,43,45537,26717,14387,0.16725958,0.027134487
Worcester, MD,2017,9,1,3,38.1655,-75.3968,51559,49.7,59458,34425,5228,0.101398398,0.035706666
Yazoo, MS,2017,9,7,6,32.8629,-90.3966,27496,35.7,28330,16927,8518,0.309790515,0.053353215
Allegany, MD,2017,8,1,6,39.6698,-78.7931,72591,41.5,42771,22355,10916,0.150376768,0.039302393
Barnstable, MA,2017,8,0,1,41.657,-70.2694,213900,52.4,68048,40886,15810,0.073913043,0.028106592
Benton, OR,2017,8,4,0,44.5605,-123.292,88249,32.8,54682,30873,17119,0.193985201,0.034062709
Butler, PA,2017,8,2,3,40.6809,-79.9978,185984,43.1,66037,35101,15194,0.0816952,0.023668703
Campbell, KY,2017,8,2,3,39.0847,-84.4709,91804,38,57208,31065,12541,0.136606248,0.02876781
Chambers, AL,2017,8,3,11,32.7031,-85.2941,33895,43,37342,22002,6288,0.185514088,0.029325859
Cherokee, GA,2017,8,5,3,34.1069,-84.533,235896,38,75477,33466,22072,0.093566656,0.02547309
Chester, SC,2017,8,3,7,34.7135,-81.1773,32424,41.8,37421,20518,7019,0.21647545,0.042591907
Clay, MN,2017,8,1,1,46.8832,-96.3199,62040,32.6,61409,28122,7236,0.116634429,0.015586718
Clay, MO,2017,8,2,6,39.249,-94.4176,236068,36.8,65675,31953,20693,0.087656946,0.024187946
Coffee, GA,2017,8,2,2,31.5088,-82.8499,43048,35.9,36572,18945,9348,0.217152946,0.022649136
Columbiana, OH,2017,8,4,4,40.9021,-80.853,104584,43.8,45498,24758,15538,0.148569571,0.035626865
Crisp, GA,2017,8,6,3,31.9509,-83.783,23005,38.3,33194,21225,7025,0.305368398,0.06398609
Cullman, AL,2017,8,5,1,34.1637,-86.8071,81703,40.6,40997,21857,13157,0.161034479,0.024013806
Curry, NM,2017,8,3,6,34.414,-103.213,50283,30.8,41941,22628,11064,0.220034604,0.034703578
Curry, OR,2017,8,0,1,42.41,-124.415,22377,55.6,42519,26925,3429,0.153237699,0.037851365
Eau Claire, WI,2017,8,5,0,44.8113,-91.5009,102388,34.3,52178,27780,14197,0.138658827,0.022697972
Elmore, AL,2017,8,4,3,32.5126,-86.3443,80989,38.5,54981,26251,10299,0.127165418,0.032263641
Fayette, GA,2017,8,3,1,33.4848,-84.4297,110306,43.5,84861,39936,6907,0.062616721,0.027514369
Floyd, IN,2017,8,3,6,38.2703,-85.9293,76481,39.9,59451,30663,8104,0.105960958,0.027013245
Fond du Lac, WI,2017,8,2,1,43.7991,-88.4822,102082,41.2,57798,29431,8387,0.08215944,0.021590486
Gadsden, FL,2017,8,2,4,30.5824,-84.5812,46113,40.7,39830,19252,10495,0.227593087,0.033070934
Guadalupe, TX,2017,8,5,3,29.5728,-98.321,150889,36.7,66187,29300,15774,0.104540424,0.021658305
Haywood, TN,2017,8,2,13,35.5966,-89.2537,17944,40,36118,21453,3377,0.188196612,0.031319661
Henderson, NC,2017,8,1,5,35.2768,-82.4207,112156,46.9,50454,28290,13134,0.117104747,0.016450301
Jackson, OK,2017,8,1,3,34.632,-99.3481,25574,34.2,45189,22988,4432,0.173301009,0.022757488
Johnson, TX,2017,8,4,6,32.3008,-97.3892,160173,36.9,60458,26574,17201,0.107390134,0.02332478
Kusilvak, AK,2017,8,4,0,61.6809,-163.184,8129,24,36468,11693,3163,0.38910075,0.105548038
Lincoln, MS,2017,8,2,11,31.6266,-90.5501,34542,37.8,37308,20627,8007,0.231804759,0.030455677
Lincoln, NC,2017,8,2,3,35.4805,-81.1761,80504,42.7,50782,27359,12103,0.150340356,0.039538408
Lycoming, PA,2017,8,3,2,41.2437,-77.0226,115398,41,50634,26265,15375,0.133234545,0.030780429
Marin, CA,2017,8,4,2,37.8626,-122.5,260814,46.1,104703,66748,20515,0.078657587,0.023813906
McClain, OK,2017,8,3,2,34.9924,-97.3689,37919,38.3,62081,28353,3574,0.09425354,0.018275798
Medina, OH,2017,8,5,0,41.1438,-81.8504,176362,41.9,71595,34174,10764,0.061033556,0.019550697
Otter Tail, MN,2017,8,2,2,46.2812,-95.7141,57790,46.6,55181,29932,5350,0.09257657,0.018203841
Paulding, GA,2017,8,5,2,33.9812,-84.8021,152399,35.6,63669,26636,14716,0.096562313,0.026627471
Pittsburg, OK,2017,8,2,5,34.9236,-95.7703,44673,41,44941,24408,7287,0.163118662,0.027466255
Pope, AR,2017,8,2,4,35.2831,-93.1229,63372,34.9,40668,21650,11841,0.186849082,0.033816196
Ross, OH,2017,8,0,1,39.3434,-82.9978,77125,40.5,45792,22714,12925,0.167585089,0.032777958
Sequoyah, OK,2017,8,4,1,35.4511,-94.8017,41364,40.7,37455,19253,10048,0.242916546,0.035900783
Sussex, NJ,2017,8,1,3,40.4896,-74.4818,143570,44.1,89238,41272,7573,0.052747789,0.035857073
Umatilla, OR,2017,8,3,3,45.7324,-118.757,76736,36.1,50071,22153,12817,0.16702721,0.038013449
Washington, LA,2017,8,3,1,30.7716,-89.9304,46449,39.9,32962,18345,11679,0.25143706,0.049129152
Washington, OK,2017,8,4,0,36.7473,-95.9808,51867,40.1,50388,28913,7134,0.137544103,0.021670812
Webster, LA,2017,8,1,3,32.4776,-93.4002,40043,40.6,30891,19256,9697,0.242164673,0.026871114
White, AR,2017,8,6,1,35.269,-91.6785,78706,36.3,44074,23120,12354,0.156963891,0.0272025
Williamsburg, SC,2017,8,2,3,33.6763,-79.8323,32256,41.7,30976,17440,8575,0.265842014,0.038473462
Windham, CT,2017,8,0,1,41.8053,-71.881,116674,41,62553,29993,12313,0.105533366,0.041628812
Anoka, MN,2017,7,3,6,45.0464,-93.109,344861,38.2,76796,34321,22428,0.065034898,0.024067668
Beaufort, NC,2017,7,2,4,35.5442,-77.0369,47316,45.4,41101,24657,8947,0.189090371,0.040028743
Blair, PA,2017,7,0,0,40.3178,-78.3955,124736,43.1,45664,25531,18479,0.148144882,0.024908607
Calvert, MD,2017,7,1,2,38.6118,-76.601,90824,40.8,100350,41469,5114,0.056306703,0.039383863
Christian, MO,2017,7,1,2,37.0016,-93.0841,83028,37.6,55761,26628,8588,0.103434986,0.026485041
Coahoma, MS,2017,7,3,3,34.2026,-90.5756,24296,34,28728,16699,8587,0.353432664,0.081124465
Coffee, AL,2017,7,4,4,31.3152,-85.8552,51073,39.3,49821,26216,8122,0.159027275,0.027235526
Columbia, PA,2017,7,2,2,41.0008,-76.442,66615,40.5,48395,24908,9821,0.147429258,0.024213766
Crawford, PA,2017,7,6,2,41.6358,-80.1541,86847,42.8,47179,24716,12032,0.138542494,0.028037814
Douglas, OR,2017,7,5,1,43.5286,-123.325,107576,47,44023,25002,18075,0.168020748,0.037257381
Emanuel, GA,2017,7,5,2,32.6111,-82.3283,22502,37.2,33089,17944,6329,0.281263888,0.042529553
Flathead, MT,2017,7,0,3,48.2133,-114.369,96147,42.3,51410,28379,12886,0.134023943,0.020187837
Franklin, WA,2017,7,0,6,46.2602,-119.142,89124,29.9,60275,22125,13818,0.155042413,0.026670706
Greene, AR,2017,7,4,0,36.0701,-90.4809,44197,37.7,45566,22094,6879,0.155644048,0.032558771
Hamilton, IN,2017,7,4,1,40.1207,-86.0223,309687,36.6,90582,44443,15322,0.049475761,0.018053712
Hancock, OH,2017,7,6,2,41.0557,-83.6457,75508,38.9,52831,29608,8878,0.117576945,0.023613392
Harrisonburg, VA,2017,7,1,2,38.4504,-78.8683,53064,24.8,43009,20134,13231,0.249340419,0.027608171
Hawkins, TN,2017,7,1,2,36.257,-83.086,56402,44.2,38728,22141,10737,0.19036559,0.030903159
Henry, IN,2017,7,2,3,39.8445,-85.5261,48649,42.2,46131,23293,7253,0.149088368,0.031100331
Hutchinson, TX,2017,7,4,3,35.6242,-101.566,21704,36.9,50035,25154,3541,0.16314965,0.023083303
Kent, RI,2017,7,0,1,41.7279,-71.4381,164012,43.7,69047,37157,12687,0.077354096,0.035015731
Liberty, GA,2017,7,4,4,32.0833,-93.5048,62120,27.9,43493,20966,9931,0.159867997,0.048744366
Liberty, TX,2017,7,3,3,29.9785,-94.9502,79884,35.8,48344,22153,11781,0.147476341,0.030206299
Lincoln, LA,2017,7,6,6,32.5065,-92.7171,47536,27.6,34424,21934,13771,0.28969623,0.043230394
Livingston, LA,2017,7,5,0,30.4828,-90.9461,137096,35.9,60456,27280,17959,0.130995799,0.028060629
Logan, WV,2017,7,2,3,37.688,-81.8737,34428,43,37859,21074,7593,0.220547229,0.045457186
Manitowoc, WI,2017,7,0,1,44.0721,-87.6593,79680,44.5,51053,27777,8036,0.100853414,0.019678715
McDuffie, GA,2017,7,2,1,33.4639,-82.4956,21488,37.8,40469,20436,5503,0.256096426,0.033553611
Northampton, NC,2017,7,4,1,35.2771,-81.0697,20426,48.6,33508,19126,4955,0.242582982,0.03950847
Nye, NV,2017,7,2,1,36.1172,-115.95,43296,51.6,44225,23740,7388,0.17063932,0.043329638
Ontario, NY,2017,7,2,1,42.8756,-76.9839,109491,43.4,61710,33685,10343,0.094464385,0.024696094
Pettis, MO,2017,7,1,3,38.7051,-93.2249,42309,37.9,43097,22304,7125,0.168403886,0.027228249
Pike, AL,2017,7,3,8,31.8266,-85.9606,33287,31.4,35684,20808,8224,0.247063418,0.041037041
Polk, GA,2017,7,4,2,33.909,-85.0243,41444,37.1,40652,22314,7781,0.187747322,0.032984268
Prentiss, MS,2017,7,0,1,34.6684,-88.4469,25389,39.5,32854,19016,5449,0.214620505,0.028004254
Pulaski, KY,2017,7,4,1,37.0922,-84.6295,63974,42,35022,21036,15873,0.248116422,0.036483571
Putnam, TN,2017,7,3,3,36.1805,-85.4974,75565,36,37802,23337,16843,0.222894197,0.031496063
Randolph, MO,2017,7,3,1,39.4227,-92.4478,24987,39.2,44754,19984,3758,0.150398207,0.026133589
Randolph, WV,2017,7,2,0,38.9235,-79.8523,29152,43.1,40094,23642,4911,0.168461855,0.030975576
Reno, KS,2017,7,2,4,38.0573,-97.7504,63360,40.1,47897,25267,8470,0.133680556,0.024636995
Seneca, OH,2017,7,4,4,41.1819,-83.421,55549,39.5,49153,25004,7954,0.143188896,0.029001422
St. Joseph, MI,2017,7,0,1,41.9609,-85.637,60890,39.4,47856,23702,9403,0.154426014,0.02561997
Stephens, OK,2017,7,3,3,34.576,-98.2998,44293,40.5,44805,25177,6561,0.148127244,0.030253087
Surry, NC,2017,7,4,3,36.3796,-80.7307,72315,43.4,39071,22533,12534,0.173325036,0.022650902
Talladega, AL,2017,7,6,1,33.4401,-86.1074,80888,40.6,39219,21382,14946,0.184774009,0.04252794
Vance, NC,2017,7,4,3,36.3227,-78.4167,44420,40.6,35246,21188,10026,0.22570914,0.050540297
Walker, AL,2017,7,6,3,33.7598,-87.1833,64927,42.3,38872,21217,13754,0.21183791,0.041600567
Waynesboro, VA,2017,7,0,0,38.0734,-78.9049,21620,40,42112,23640,3691,0.170721554,0.021322849
Weakley, TN,2017,7,2,0,36.2174,-88.6107,33776,38.1,36550,19699,6383,0.188980341,0.037896731
Whatcom, WA,2017,7,2,3,48.7335,-122.487,212738,36.9,56419,29186,31630,0.148680537,0.035113614
Abbeville, SC,2017,6,2,3,34.1932,-82.4099,24788,43.7,35254,19234,5474,0.220832661,0.039777312
Allendale, SC,2017,6,3,5,33.0086,-81.3158,9402,40.6,23331,13439,2508,0.266751755,0.059242714
Assumption, LA,2017,6,1,1,29.9907,-91.0559,22881,39.5,48656,25765,3547,0.155019448,0.030243433
Augusta, VA,2017,6,2,3,38.1015,-78.968,74390,44.6,59544,30088,6260,0.084151096,0.020137115
Belmont, OH,2017,6,2,5,40.1034,-80.7167,68889,44.2,46484,25326,9153,0.132865915,0.03112253
Bonner, ID,2017,6,1,4,48.2804,-116.556,41855,47.7,45607,25909,5752,0.137426831,0.018874686
Boone, KY,2017,6,6,1,39.0612,-84.6573,127682,37.1,72731,33553,9571,0.074959665,0.02620573
Boyd, KY,2017,6,1,2,38.4656,-82.6719,48486,41.9,45543,26420,8941,0.184403745,0.038526585
Bristol, VA,2017,6,1,1,36.6006,-82.1763,17077,42.3,37844,21589,3565,0.208760321,0.034842185
Brown, TX,2017,6,1,0,31.831,-98.7886,37787,41,43062,24040,5913,0.156482388,0.018101463
Butler, AL,2017,6,1,1,31.7004,-86.4881,20126,40.7,36326,19004,4835,0.24023651,0.031799662
Calaveras, CA,2017,6,0,0,38.4016,-120.508,45057,51.6,54800,31652,5676,0.125973767,0.028430655
Carroll, MD,2017,6,1,1,39.4136,-77.1749,167319,42.4,90510,39690,8993,0.053747632,0.021724968
Carson City, NV,2017,6,0,2,39.1815,-119.747,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Carteret, NC,2017,6,2,2,34.7182,-76.6638,68699,47.4,51584,30903,8458,0.123116785,0.037904482
Cayuga, NY,2017,6,0,0,42.9202,-76.5606,78319,42.5,54664,27957,8599,0.109794558,0.029877807
Cherokee, KS,2017,6,3,0,37.0763,-94.6468,20501,41.4,41101,21006,2759,0.134578801,0.024096386
Cherokee, OK,2017,6,1,1,35.8569,-94.9215,48404,35,39187,19799,9824,0.202958433,0.034315346
Chilton, AL,2017,6,1,4,32.8516,-86.6511,43805,38.9,43501,23368,8392,0.191576304,0.029014953
Clare, MI,2017,6,0,2,44.1372,-84.8668,30597,46.9,35913,21198,7108,0.232310357,0.046475145
Colonial Heights, VA,2017,6,1,3,37.2688,-77.4235,17582,40.1,50952,27608,2312,0.131498123,0.049084291
Columbia, GA,2017,6,2,1,33.5642,-82.1761,143723,36.4,74162,31720,12269,0.085365599,0.026836345
Copiah, MS,2017,6,3,5,31.975,-90.3625,28748,38.2,38046,18756,6782,0.235912063,0.050264366
Coryell, TX,2017,6,1,2,31.1196,-97.9091,75818,31.2,50865,21171,8174,0.10781081,0.033870585
Covington, AL,2017,6,1,4,31.2681,-86.486,37519,43.4,39467,22431,6491,0.173005677,0.046882913
Cross, AR,2017,6,0,6,35.2666,-90.5607,17164,40.7,41081,22894,3041,0.177173153,0.030995106
Dale, AL,2017,6,3,3,31.3149,-85.4487,49393,37.1,44711,23194,9441,0.191140445,0.042455409
DeKalb, AL,2017,6,0,5,34.7118,-85.6439,71194,39,38842,20020,15115,0.212307217,0.021476529
Del Norte, CA,2017,6,1,7,41.5336,-124.042,27442,38.7,41287,20809,5571,0.203009985,0.033379491
Drew, AR,2017,6,3,2,33.6262,-91.793,18620,36.5,36092,20300,4246,0.228034372,0.040440387
Dubois, IN,2017,6,0,0,38.2898,-86.947,42379,40.2,57307,28302,4150,0.09792586,0.015314189
El Dorado, CA,2017,6,4,3,38.9469,-119.961,185015,45.5,74885,38156,17996,0.097267789,0.038061779
Ellis, TX,2017,6,4,4,32.5278,-96.6529,164092,36,67371,28612,17014,0.103685737,0.023334471
Forsyth, GA,2017,6,4,1,34.1692,-84.1761,211300,38.2,96445,39896,13643,0.064566966,0.021613819
Hamblen, TN,2017,6,1,2,36.1998,-83.2994,63465,40.3,42042,21962,12232,0.192736154,0.034002994
Henderson, TX,2017,6,4,2,32.1798,-95.959,79687,43.8,44888,24315,14023,0.175976006,0.025637808
Hendricks, IN,2017,6,3,4,39.7118,-86.4176,158170,37.6,74245,33031,7832,0.049516343,0.024372511
Hill, TX,2017,6,4,1,31.9362,-97.2439,35098,42.5,45970,23342,5967,0.170009687,0.036839706
Holmes, FL,2017,6,0,1,30.9802,-85.6189,19483,42.2,37474,18402,4679,0.240158087,0.042447262
Howard, TX,2017,6,3,2,32.2334,-101.473,36491,36.7,50855,22994,4344,0.119043052,0.028253542
Huntingdon, PA,2017,6,0,1,40.4911,-78.018,45686,42.9,46765,22908,5517,0.120759095,0.028958543
Iberville, LA,2017,6,2,3,30.2873,-91.2383,33122,38.4,47128,22252,5708,0.172332589,0.031338687
Johnston, NC,2017,6,5,3,35.6012,-78.1158,186308,37.9,54610,24872,26622,0.142892415,0.032118857
Ketchikan Gateway, AK,2017,6,2,0,55.3554,-131.711,13745,39.5,67321,33771,1437,0.104547108,0.037904693
Knox, IL,2017,6,1,1,40.9348,-90.3975,51374,42.2,41972,23676,8541,0.166251411,0.028146533
Lawrence, MO,2017,6,5,0,36.9695,-93.72,38131,39.7,41673,21022,6387,0.167501508,0.029188849
Lincoln, NE,2017,6,2,4,41.1382,-100.775,35569,40.4,55875,29687,4373,0.122944137,0.013523012
Litchfield, CT,2017,6,0,1,41.923,-73.0732,184454,46.9,76438,40619,12400,0.067225433,0.03412775
Macon, AL,2017,6,4,3,32.4412,-85.6981,19358,38,32308,19564,4380,0.226263044,0.064624445
Madison, ID,2017,6,0,1,43.8142,-111.804,38241,23.5,33620,15257,11974,0.313119427,0.044977903
Martinsville, VA,2017,6,1,3,36.6827,-79.8636,13256,41.5,33545,22544,3053,0.230310803,0.036511768
McKean, PA,2017,6,3,1,41.8578,-78.2417,42070,42.5,45866,24868,6738,0.160161635,0.035060613
Mercer, PA,2017,6,3,2,41.2077,-80.4493,113623,44.4,47340,25499,14521,0.127799829,0.027274407
Monroe, GA,2017,6,0,2,33.0554,-83.9392,26795,43.3,50666,30359,3415,0.127449151,0.042657212
Monroe, MS,2017,6,1,3,33.9689,-88.4595,35967,41,39444,21643,6829,0.189868491,0.03211277
Montrose, CO,2017,6,1,2,38.4992,-107.898,40908,44.7,44865,24308,7189,0.175735797,0.036374303
Morehouse, LA,2017,6,1,3,32.7822,-91.9168,26290,39.6,31672,18776,7022,0.267097756,0.023088627
Morton, ND,2017,6,1,2,46.8272,-100.899,30059,38.2,65385,37335,2318,0.077115007,0.014039057
Muskingum, OH,2017,6,2,4,39.939,-82.0188,85933,40.2,43325,22877,13877,0.161486274,0.032920997
Nassau, FL,2017,6,4,2,30.6588,-81.4564,78435,44.9,64294,33337,8866,0.113036272,0.026710015
Navajo, AZ,2017,6,0,3,34.5215,-110.039,107902,35.9,38798,17685,30548,0.283108747,0.060008156
Newton, MO,2017,6,2,1,36.8687,-94.3964,58237,39.4,46723,25837,7389,0.126878102,0.026495183
Ottawa, OK,2017,6,4,1,36.8792,-94.8895,31725,38.2,38472,19415,6685,0.2107171,0.031363278
Payne, OK,2017,6,2,2,36.1081,-97.0533,80634,27.2,39149,22785,19108,0.236971997,0.021082918
Pointe Coupee, LA,2017,6,1,5,30.7016,-91.4362,22271,42.7,43964,27160,3843,0.172556239,0.038211127
Prince of Wales-Hyder, AK,2017,6,1,1,55.555,-133.097,6473,41,52114,26695,1027,0.158659045,0.066893249
Putnam, IN,2017,6,0,1,39.6445,-86.8647,37543,37.8,55295,23842,3696,0.098447114,0.023279972
Rutland, VT,2017,6,1,0,43.6123,-72.9835,59676,46.4,52635,28443,6541,0.109608553,0.024783833
Scioto, OH,2017,6,2,2,38.9048,-82.8889,76871,39.8,38978,22586,17432,0.226769523,0.031221137
St. Bernard, LA,2017,6,2,0,29.9346,-89.9536,45067,33.6,45265,20431,8801,0.195287017,0.049126856
St. Charles, LA,2017,6,4,3,29.9523,-90.3787,52728,37.2,64707,30378,6337,0.120182825,0.036640874
St. Francois, MO,2017,6,1,1,37.7557,-90.4875,66248,39.2,42873,20944,9139,0.137951334,0.027442338
St. Mary's, MD,2017,6,0,0,38.2515,-76.4522,110979,36.5,86508,37528,8839,0.079645699,0.021391434
Steuben, NY,2017,6,0,0,42.1384,-77.0497,97539,42.4,50157,27731,13922,0.142732651,0.033166221
Sumter, GA,2017,6,3,3,31.9733,-84.1419,30687,35.2,34219,18785,9560,0.311532571,0.044644312
Tippah, MS,2017,6,5,2,34.6828,-88.8423,21993,38.6,39351,19780,4933,0.22429864,0.04051289
Tishomingo, MS,2017,6,2,3,34.7543,-88.1406,19476,42.6,36672,19379,3570,0.183302526,0.048880674
Union, AR,2017,6,5,2,33.195,-92.6502,40022,39.7,41106,23463,7936,0.19829094,0.034930788
Valencia, NM,2017,6,2,1,34.7693,-106.629,75845,39,43428,20572,16266,0.214463709,0.037405234
Walker, GA,2017,6,3,1,34.9847,-85.2691,68609,41.4,43581,22564,11523,0.167951726,0.031759682
Washington, MN,2017,6,2,0,44.9241,-92.7648,250979,39.2,89598,41591,12251,0.048812849,0.019459795
Washington, NY,2017,6,0,3,43.5572,-73.4072,62183,43.6,52527,26064,7556,0.12151231,0.032404355
White, IN,2017,6,2,2,40.7606,-86.7629,24279,42,51404,26275,2342,0.096461963,0.021582437
Whiteside, IL,2017,6,1,5,41.8059,-89.7024,56823,42.9,51969,28188,6207,0.109233937,0.030040653
Yamhill, OR,2017,6,1,7,45.2092,-123.21,102366,38.2,58392,28540,13334,0.130258094,0.03169021
Yavapai, AZ,2017,6,2,2,34.0709,-112.126,220972,52.2,48259,27504,31859,0.144176638,0.029963072
Accomack, VA,2017,5,2,4,37.7131,-75.736,32840,46,42260,24266,6416,0.195371498,0.024147381
Adams, IN,2017,5,0,1,39.0784,-86.6663,35018,33.3,48290,21534,6448,0.184133874,0.023330858
Adams, PA,2017,5,1,1,39.7368,-77.1087,101589,43.3,62661,29685,8548,0.084142968,0.025829568
Anderson, KY,2017,5,2,1,38.0442,-84.8657,22017,40.5,51681,24991,2617,0.118862697,0.031566517
Audrain, MO,2017,5,0,4,39.1671,-91.8983,25763,39.6,44056,21226,3953,0.1534371,0.033109498
Barrow, GA,2017,5,3,2,33.9976,-83.7105,75099,35.1,56119,22978,9829,0.130880571,0.033289391
Barton, KS,2017,5,0,1,38.3654,-98.7921,27067,39.6,46070,26264,4154,0.153471016,0.021797761
Becker, MN,2017,5,0,4,46.9916,-95.88,33552,41.8,55884,28525,4191,0.124910587,0.018031712
Berkeley, WV,2017,5,2,1,39.5659,-77.8759,111610,38.8,59480,27658,14353,0.128599588,0.042478273
Bullock, AL,2017,5,0,5,32.1448,-85.7023,10478,40.8,29655,20856,2852,0.272189349,0.056499332
Cache, UT,2017,5,0,3,41.7292,-111.833,120288,25,53812,21752,17793,0.147919992,0.01787377
Cape May, NJ,2017,5,0,1,39.0446,-74.8696,94549,48.7,62332,36256,9796,0.103607653,0.041026346
Carroll, GA,2017,5,4,4,33.5808,-85.1039,114898,34.4,46844,23139,20705,0.180203311,0.044796254
Carroll, VA,2017,5,0,2,36.7353,-80.8711,29767,47,41145,23690,4296,0.144320892,0.017368227
Carter, TN,2017,5,0,4,36.2793,-82.2494,56500,44.4,34625,21001,13432,0.237734513,0.027292035
Cass, MI,2017,5,0,1,41.7989,-86.0744,51397,44.7,50699,28019,6907,0.134385275,0.038231803
Cass, MO,2017,5,1,3,38.8246,-94.4982,101888,39.5,65352,30618,9492,0.093161118,0.025174702
Cattaraugus, NY,2017,5,1,1,42.0814,-78.4406,78175,41.7,45571,23984,12777,0.163440998,0.032260953
Chippewa, WI,2017,5,2,0,44.9626,-91.345,63445,41.2,55240,27020,6525,0.102844984,0.018929782
Citrus, FL,2017,5,0,7,28.8965,-82.5797,141373,55.9,40574,25034,24123,0.170633714,0.035006684
Clay, KY,2017,5,1,3,37.222,-83.7372,20866,39.2,24596,15388,7606,0.364516438,0.027652641
Clermont, OH,2017,5,1,1,38.9546,-84.2424,202166,39.9,64183,31812,19660,0.097246817,0.022714007
Clinton, IA,2017,5,2,3,41.8226,-90.2163,47587,42.2,50295,28091,6094,0.128060185,0.021119213
Comal, TX,2017,5,2,2,29.6958,-98.1315,129100,42.2,73655,35841,11827,0.091611154,0.018233927
Cook, GA,2017,5,1,5,31.1304,-83.4338,17190,37,35539,17587,4099,0.238452589,0.024723677
Cooper, MO,2017,5,1,1,38.9492,-92.6434,17620,39.2,46547,22371,1787,0.101418842,0.023212259
Coos, OR,2017,5,0,0,43.119,-124.408,62921,48.3,40848,26007,11105,0.176491156,0.038890037
Crow Wing, MN,2017,5,1,0,46.3558,-94.2082,63505,44.1,53121,30013,6043,0.095157862,0.016959295
Daviess, IN,2017,5,1,0,38.6596,-87.2051,32777,34.6,48355,21794,4184,0.127650487,0.024773469
Dearborn, IN,2017,5,2,1,39.1154,-84.8549,49564,42.7,62905,30228,4925,0.099366476,0.030546364
Douglas, WI,2017,5,1,2,46.708,-92.0849,43503,41.3,50730,27844,5983,0.137530745,0.029722088
Edgecombe, NC,2017,5,0,2,35.8174,-77.4541,54032,40.3,32929,18946,13050,0.241523542,0.045824696
Effingham, IL,2017,5,0,1,39.1195,-88.5606,34164,39.1,54655,29300,3798,0.111169652,0.023299379
Fauquier, VA,2017,5,2,1,38.7072,-77.8145,68406,41.6,94775,43067,4190,0.061251937,0.021284683
Fayette, IA,2017,5,0,1,42.959,-91.8156,20139,43.7,48412,27020,2472,0.122746909,0.018223348
Floyd, KY,2017,5,0,2,37.6998,-82.7679,37447,41.4,31196,18366,11304,0.301866638,0.038881619
Gila, AZ,2017,5,3,0,32.9328,-111.762,53145,49.3,41179,22433,11427,0.215015524,0.045253552
Glenn, CA,2017,5,1,3,39.5206,-122.191,27935,36.8,46260,21029,5404,0.193449078,0.039233936
Grays Harbor, WA,2017,5,1,1,46.9901,-123.599,71454,43.5,45483,24081,10956,0.153329415,0.042446889
Grayson, TX,2017,5,1,3,33.8179,-96.7229,126146,40.2,52683,26535,17605,0.139560509,0.031820272
Green Lake, WI,2017,5,2,1,45.0343,-89.7406,18745,45.5,50276,26372,2113,0.112723393,0.016857829
Greenbrier, WV,2017,5,2,5,37.778,-80.4539,35523,45.4,40483,23777,6197,0.174450356,0.028516736
Habersham, GA,2017,5,3,1,33.0425,-83.2299,43878,39.5,44474,20656,7114,0.162131364,0.022904417
Hall, NE,2017,5,0,1,40.9302,-98.357,61233,35.8,53807,26419,8133,0.132820538,0.029624549
Harvey, KS,2017,5,4,2,38.0478,-97.3358,34683,39.2,55687,26587,3746,0.108006804,0.014560447
Haywood, NC,2017,5,3,1,35.5423,-82.9366,59854,47.5,45538,27166,9817,0.164015772,0.022922445
Hoke, NC,2017,5,2,0,34.9846,-79.1826,52571,31.9,45713,19654,11177,0.212607711,0.048049305
Hunt, TX,2017,5,5,4,33.1422,-96.1102,90322,37.9,49319,23942,16430,0.181904741,0.029782334
Independence, AR,2017,5,1,3,35.7666,-91.6533,37097,39.8,39945,23056,6628,0.178666739,0.026228536
Jackson, KS,2017,5,0,0,39.463,-95.7273,13322,41.4,53592,25920,1295,0.097207626,0.027923735
Levy, FL,2017,5,2,3,29.236,-82.9365,39713,46.4,36554,21043,8595,0.21642787,0.033993906
Livingston, NY,2017,5,0,1,42.589,-77.8846,64373,40.4,53654,25882,8497,0.131996334,0.023068678
Logan, KY,2017,5,0,4,36.8509,-86.8919,26847,40.7,40982,21465,4610,0.171713786,0.02659515
Lonoke, AR,2017,5,1,2,34.7638,-92.004,71568,35.8,57290,25184,8709,0.121688464,0.023013078
Macon, GA,2017,5,2,4,32.2864,-84.0209,13675,40.6,30851,15919,3364,0.245996344,0.066764168
Madison, GA,2017,5,1,0,34.0914,-83.1159,28600,41,47653,22885,4977,0.174020979,0.036503497
Malheur, OR,2017,5,0,3,44.0234,-116.967,30421,36.1,37112,17567,6761,0.222247789,0.033463726
Marion, MS,2017,5,3,3,31.2525,-89.8354,25466,39.9,30998,19610,6396,0.251158407,0.03251394
Mason, WA,2017,5,1,2,47.5033,-122.931,61569,45.9,53087,26312,9769,0.158667511,0.033799477
Maui, HI,2017,5,0,1,20.8343,-156.337,164094,40.9,72762,32379,16147,0.098400917,0.026497008
McMinn, TN,2017,5,0,2,35.4594,-84.6352,52569,42.6,39990,21583,10069,0.19153874,0.036085906
Middlesex, CT,2017,5,0,1,41.5641,-72.6501,164110,45.1,81673,43695,11433,0.069666687,0.028730729
Monroe, MI,2017,5,0,4,41.7307,-83.5477,149619,42.2,59479,29245,16555,0.110647712,0.02898696
